,pH_H2O,pH_CaCl2,EC,OC,CaCO3,P,N,K,monthly_precipitation,monthly_air_temperature,betadispersion,alpha_div,centroid_x,centroid_y,convex_hull_area,mean_pairwise_distance,Environment
F_9_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_35_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_38_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_8_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_7_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_31_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_36_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_37_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_27_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_34_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_44_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_47_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_20_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_6_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_3_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_10_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_48_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_32_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_49_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_26_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_11_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_13_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_2_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_19_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_42_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_17_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_39_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_45_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_46_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_14_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_28_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_1_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_0_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_4_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_30_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_18_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_33_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_16_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_29_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_40_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_43_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_41_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_12_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_23_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_5_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_22_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_15_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_21_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_25_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_24_Null.edgelist,,,,,,,,,,,,,,,,,Null
F_9_Woodland.edgelist,5.187200000000001,4.584,12.3904,71.152,21.28,21.044,3.8819999999999997,147.588,63.4,14.870000000000003,0.6871307920301808,2.5633002970525336,1385288.1393972011,6889592.831928394,13891211979394.703,2646896.0330723035,Woodland
F_8_Grassland.edgelist,6.215200000000001,5.7139999999999995,19.2596,31.986000000000004,36.1,23.096,3.0239999999999996,246.19799999999998,71.0,14.815999999999999,0.6687700809184688,3.2121937412664687,1179120.791821093,5868026.141333347,11666940330365.137,1959167.195579494,Grassland
F_6_Woodland.edgelist,4.999199999999999,4.444,13.5998,58.02799999999999,2.78,19.246000000000002,3.3760000000000003,118.02000000000002,68.8,14.474000000953675,0.6834377074518737,2.8613818415150614,1337025.1879163135,6956007.227542686,13806134993139.236,2450046.753653353,Woodland
F_6_Grassland.edgelist,6.3252,5.837999999999999,19.471199999999996,39.476,38.8,23.855999999999995,3.66,194.546,71.52,14.477,0.6647924139075303,3.3452694087457293,984275.3095875834,6059231.265658273,11984346384824.72,1870543.994101253,Grassland
F_5_Grassland.edgelist,6.2642,5.753999999999999,16.6614,37.866,40.82,25.642,3.5399999999999996,203.56400000000002,66.28,14.353,0.661193913728575,3.4006143574748,922055.4442395468,5898706.186911268,12882520116640.38,2024788.6203462093,Grassland
F_7_Grassland.edgelist,6.472199999999999,5.966,18.0738,42.606,62.52,23.706,3.6959999999999997,219.36599999999999,61.24,14.235,0.6653336318076158,3.3376043829733493,990494.2450935908,6073360.505978774,11864738982690.725,2060425.799127387,Grassland
F_38_Grassland.edgelist,6.2125,5.715,16.989199999999997,36.131,19.6,24.0,3.443,173.795,73.22,14.775,0.6600595936758127,3.3517565875679933,1085440.8801668196,6028759.751902224,12205140015272.557,1887120.443059268,Grassland
F_38_Woodland.edgelist,5.3596,4.798,12.824799999999998,48.816,22.62,20.031999999999996,2.9560000000000004,113.866,61.58,14.748,0.6833440049890228,2.813486145826433,1368854.259688175,6932663.623137707,12493022345839.531,2635678.3031422645,Woodland
F_49_Woodland.edgelist,5.260599999999999,4.718000000000001,11.379100000000001,51.097,26.46,17.972,2.9130000000000003,120.449,69.48,15.256000000000002,0.6842589410016354,2.7536423859380688,1361719.322543827,6816787.056925328,14759998268575.115,2577273.468845333,Woodland
F_37_Woodland.edgelist,5.083,4.488,9.9291,49.729,14.86,20.704,2.897,120.07699999999998,65.32,13.574000000000002,0.6844461228567889,2.8185585086088967,1639001.303749502,7084208.541990927,14095604588153.488,2655932.356267232,Woodland
F_49_Grassland.edgelist,6.465999999999999,5.96,22.845000000000006,37.2,34.86,26.140000000000004,3.3739999999999997,272.754,65.54,15.261,0.6664859805838772,3.2074698207137065,857857.201859061,5724912.898551165,12132306861386.447,2020263.6708466727,Grassland
F_4_Grassland.edgelist,6.365,5.8660000000000005,18.271,34.912000000000006,28.22,22.833999999999996,3.2879999999999994,251.95600000000002,70.34,15.465,0.6650060214222066,3.3570808028727215,1301168.0210736375,5877165.523879116,8036516823158.557,1655047.7252120948,Grassland
F_48_Grassland.edgelist,6.3466,5.8260000000000005,20.639,32.994,24.42,25.311999999999998,3.0959999999999996,255.69200000000004,70.04,15.574000000000002,0.6699631001140051,3.1682598902917056,1155853.326707787,5942142.004925915,10733220896271.385,1925683.0734078388,Grassland
