,Network,Organism,Repeat,Environment,Node number,Edge number,Mean interaction coefficient,Degree heterogeneity,Network density,Clustering coefficient,Modularity (Q)
0,F_9_Null.edgelist,Fungi,9,Null,329,481,0.5117214792468281,1.5094521461931945,0.008914671213581436,0.01681864235055724,0.746511201478509
1,F_35_Null.edgelist,Fungi,35,Null,317,428,0.5285936544344074,1.5080062292856287,0.008545302080421674,0.00473186119873817,0.7644779512699981
2,F_38_Null.edgelist,Fungi,38,Null,325,415,0.5403588543513954,1.3342830009496676,0.00788224121557455,0.0011721611721611722,0.7984187272618573
3,F_8_Null.edgelist,Fungi,8,Null,382,550,0.523728152177859,1.3870360445781973,0.007557955779087824,0.0,0.7550372472172409
4,F_7_Null.edgelist,Fungi,7,Null,385,573,0.5182986321051183,1.5228896103896101,0.007751623376623377,0.00303030303030303,0.7476290603754188
5,F_31_Null.edgelist,Fungi,31,Null,319,416,0.5245812587602892,1.4088641785453755,0.008201731038425898,0.002089864158829676,0.7842591403454642
6,F_36_Null.edgelist,Fungi,36,Null,382,516,0.5376345762224994,1.4330158991906117,0.007090736694562394,0.00331588132635253,0.7681521785672745
7,F_37_Null.edgelist,Fungi,37,Null,337,433,0.5405035033593386,1.5375335594178323,0.00764801469549244,0.0,0.7989195200660355
8,F_27_Null.edgelist,Fungi,27,Null,361,443,0.5386967834332561,1.5597106802092953,0.006817482302246845,0.0,0.816434020890253
9,F_34_Null.edgelist,Fungi,34,Null,352,485,0.5367568721349719,1.6039562289562286,0.00785094535094535,0.0020833333333333333,0.7585341766638288
10,F_44_Null.edgelist,Fungi,44,Null,367,546,0.5182710018373023,1.5704352228227694,0.00812971813999196,0.0067211625794732065,0.7539592821605855
11,F_47_Null.edgelist,Fungi,47,Null,354,484,0.5243275899571598,1.4477041020470223,0.007746354891887134,0.008286252354048965,0.7616113857742041
12,F_20_Null.edgelist,Fungi,20,Null,342,476,0.5230890830332307,1.2961533844386135,0.00816312531083329,0.00594541910331384,0.7756656708163971
13,F_6_Null.edgelist,Fungi,6,Null,368,521,0.5302095980210325,1.6990581684634523,0.007715318090273664,0.004076086956521739,0.7629421521882714
14,F_3_Null.edgelist,Fungi,3,Null,382,584,0.51405559515996,1.6397191188797735,0.008025174863613253,0.0081151832460733,0.7300307937617808
15,F_10_Null.edgelist,Fungi,10,Null,367,443,0.5278504419957643,1.4673396763002338,0.006596089992704099,0.007629427792915532,0.8227128180226209
